Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ABCA11P	218.654824501664	-0.00592417001580837	0.0367553933428137	-0.161178251054322	0.871953010289448	0.89750786164064
ABCA12	237.687260149223	-1.69410187869582	0.174774065655734	-9.69309646908844	3.22596870940615e-22	1.30826241655067e-21
ABCA13	1.12028425252017	-0.0706426224502803	0.425485576610446	-0.166028242397879	0.868134724397865	0.894696832898924
ABCA17P	67.6571533091649	-0.138025592409645	0.0612406400257174	-2.25382347982781	0.0242072750775023	0.035398329765512
ABCA2	11233.0199833931	-0.782243128153102	0.0710164890722531	-11.0149507300655	3.23713671639042e-28	1.6335566107321e-27
ABCA3	4025.13646233143	0.354044433688984	0.0365525640524747	9.68589872876551	3.46150534492916e-22	1.40151480289137e-21
ABCA4	116.027990124743	2.67604908237528	0.149104798783857	17.9474376693569	5.02561456667323e-72	1.06875582736018e-70
ABCA5	1510.95451828904	-0.510996019705853	0.0563641839416792	-9.06597033737928	1.23500052106082e-19	4.51288273494056e-19
ABCA6	3.01600491236085	-2.67976236354434	0.312239816495341	-8.58238514748911	9.29258964459255e-18	3.15586101156069e-17
ABCA7	261.054428188615	-0.0678735094868137	0.0686899997974174	-0.988113403508346	0.323097112114494	0.386160646423748
ABCA8	0.327208633330007	-2.01689746501178	0.726704852727096	-2.77540112391296	0.00551336610666601	0.00868334594385299
ABCA9	1.13417308848994	-1.74253833387204	0.410155104378509	-4.2484862806046	2.15219824385408e-05	4.0999509435024e-05
ABCB1	1.573388511404	-1.62738394794889	0.356995692261437	-4.55855345939892	5.15071544801348e-06	1.01655789385358e-05
ABCB10	769.655720761829	0.584634534311799	0.0351861846836676	16.6154568779709	5.38629296448285e-62	8.16452903323802e-61
ABCB11	0.301598525846822	-1.49822777627931	0.662830082405436	-2.2603496975306	0.0237995558314945	0.0348427721305877
ABCB4	15.5320842851868	-2.26066710194296	0.233600150268547	-9.67750705358748	3.75766761298304e-22	1.51927956271697e-21
ABCB5	0.136068236304494	-0.60367620818655	0.806347068584527	-0.748655550080006	0.454064841279727	0.521404966045788
